Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
RX And,000-BBC-342,01 04 35.54 +41 17 57.8,And,UGZ,0.209893,10.3 - 14.8 V,16.148083333333332,41.299388888888885,,
AR And,000-BBD-275,01 45 03.27 +37 56 33.2,And,UGSS,0.163,11.0 - 17.6 V,26.263624999999998,37.94255555555555,ZTF19acgtoku,0.27532186700614003
BV And,000-BCT-512,23 27 02.09 +50 07 13.0,And,UG,(45),15.3 - 18.5 V,351.7587083333333,50.12027777777778,ZTF17aabuphg,0.04368385236028549
DX And,000-BCR-612,23 29 46.68 +43 45 04.0,And,UGSS,0.440502,11.0 - 15.5 V,352.4445,43.75111111111111,,
FN And,000-BBC-497,01 11 57.60 +35 17 24.3,And,UGSS,--,12.9 - 19.3 V,17.99,35.29008333333333,,
FO And,000-BBC-590,01 15 32.16 +37 37 35.6,And,UGSU,0.07161,13.1 - 18.6 V,18.883999999999997,37.626555555555555,ZTF18aabfcyi,0.3907323425164502
FS And,000-BBD-866,02 25 55.03 +37 34 05.3,And,UG,--,14.9 - 19.0 V,36.47929166666666,37.56813888888889,ZTF18aabfoia,0.05305830573909658
HQ And,000-BCT-525,00 31 35.87 +43 49 05.8,And,NL,--,15.0 - 16.2 p,7.8994583333333335,43.81827777777778,,
HV And,000-BCT-527,00 40 55.38 +43 24 59.5,And,NL/VY,0.1403,15.2 - 20.6 G g,10.230749999999999,43.41652777777777,ZTF18abgjgma,0.18126336362573475
IW And,000-BBC-278,01 01 08.91 +43 23 25.8,And,UGZ/IW,0.155,13.6 - 18.6 V,15.287124999999998,43.3905,ZTF19acyycev,0.11655333076306275
IZ And,000-BCT-528,01 07 03.88 +42 43 12.1,And,UG,--,15.6 - 20 CV,16.766166666666663,42.72002777777778,ZTF18abgopgb,0.117280533642637
KV And,000-BBD-658,02 17 13.90 +40 41 29.6,And,UGSU,0.0733,14.0 - 20.4 V,34.307916666666664,40.69155555555555,ZTF18admvlto,0.17060474072414752
KW And,000-BCT-529,02 35 17.98 +41 14 02.2,And,UGSS+E,0.27297,15.4 - 18.6 CV,38.82491666666666,41.23394444444445,ZTF18adnxjie,0.6071400449452153
LL And,000-BBB-961,00 41 51.47 +26 37 21.1,And,UGWZ,0.055055,12.6 - 20 V,10.464458333333331,26.62252777777778,ZTF21acbalhp,0.8503394186931251
LS And,000-BBB-781,00 32 10.27 +41 58 10.3,And,UGWZ,--,11.7 - 20.8 g B,8.042791666666666,41.96952777777778,ZTF22aahofcd,0.7836738024829346
LU And,000-BDC-910,00 40 15.03 +43 05 49.2,And,UG,--,16.7 - 21.5 r,10.062624999999999,43.097,ZTF17aaaduzw,0.2639348951111328
LX And,000-BBD-718,02 19 44.09 +40 27 22.3,And,UG,0.1509743,12.6 - 17.0 V,34.93370833333333,40.45619444444445,,
OR And,000-BCT-533,23 04 37.42 +49 27 23.9,And,NL/VY,0.1359,14.3 - 19.0 V,346.1559166666666,49.45663888888889,ZTF20actpowx,0.31638524446408595
PQ And,000-BBF-002,02 29 29.57 +40 02 39.8,And,UGWZ+ZZ/GWLIB,0.0560,10.0 - 19.2 V,37.37320833333333,40.04438888888889,,
PT And,000-BCT-535,00 40 24.38 +41 04 03.2,And,UGWZ,0.056,15.8 - 21.4 V,10.10158333333333,41.06755555555556,ZTF23aaknvmk,0.1319853426600633
PX And,000-BBB-712,00 30 05.81 +26 17 26.4,And,NL/VY+E,0.146352746,14.4 - <18 V,7.524208333333333,26.290666666666667,ZTF20abrwsis,0.061240749794244945
QR And,000-BBB-466,00 19 49.93 +21 56 52.1,And,CBSS+E,0.660451,11.4 - 13.2 V,4.958041666666666,21.947805555555554,ZTF18abpumun,0.4068525889490733
V0402 And,000-BBB-245,00 11 07.26 +30 32 36.0,And,UGSU,0.0621,15.0 - 20.4 g,2.7802499999999997,30.543333333333337,,
V0455 And,000-BDC-667,23 34 01.45 +39 21 40.9,And,UGWZ/DQ+E+ZZ/GWLIB,0.05630921,8.5 - 16.5 V,353.50604166666665,39.361361111111115,ZTF23aaaswqx,1.5046792413753711
V0466 And,000-BFT-799,02 00 25.44 +44 10 19.1,And,UGWZ,0.05637,12.8 - 21.2: V,30.105999999999998,44.17197222222222,,
V0500 And,000-BJJ-308,00 42 26.50 +42 15 36.7,And,UGSU,0.05550,14.5 - 21.9 r CR,10.610416666666666,42.260194444444444,,
V0515 And,000-BJS-201,00 55 19.86 +46 12 57.0,And,DQ,0.10935:,14.7 - 16.0 V,13.832749999999997,46.215833333333336,ZTF18admoxby,0.21435915137294065
V0572 And,000-BJR-021,02 22 16.49 +41 22 59.2,And,UGWZ,0.054868,16.1: - 22.1 g CV,35.56870833333333,41.38311111111111,,
V0704 And,000-BDC-688,23 44 57.51 +43 31 22.3,And,NL/VY,0.154124,12.6 - 19.5 CV,356.239625,43.52286111111111,ZTF17aaaenex,0.28827869134978407
V0730 And,000-BJY-044,00 46 25.65 +41 07 14.2,And,UG,--,15.4 clear - 20.45 CR,11.606875,41.12061111111111,ZTF18abumtyr,0.25416151709751245
V0744 And,000-BJQ-809,01 29 40.06 +38 42 10.5,And,UGSU/IBWD,0.026080,14.3 - 20.2 G,22.416916666666665,38.70291666666667,,
V0776 And,000-BJX-610,23 19 36.07 +36 47 00.0,And,UGSU,0.064,13.5 - 19.0 CV V,349.90029166666665,36.78333333333333,ZTF18abnzbxh,0.6088026578781295
1RXS J003828.7+250920,000-BCY-487,00 38 27.03 +25 09 25.5,And,UGSU,--,14.6 - 18.6 CR,9.612624999999998,25.157083333333333,ZTF18abnzlcm,0.6293273440069824
1RXS J012750.5+380830,000-BJQ-773,01 27 50.58 +38 08 11.9,And,UG,0.06071,13.4 - 17.7 V,21.960749999999994,38.13663888888889,ZTF18abtlrqu,0.3284855908594489
1RXS J015017.0+375614,000-BLC-531,01 50 16.19 +37 56 19.0,And,UGZ,0.1481,13.2 - 19.8 V,27.56745833333333,37.93861111111111,ZTF18aabfaxr,0.06268908214696546
