Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
HBHA 4705-03,000-BMV-937,22 16 50.33 +46 46 41.4,Lac,DQ+E,0.171814,14.0 - 17.5 CR,334.20970833333325,46.778166666666664,,
IPHAS J220714.95+522140.1,000-BND-680,22 07 14.94 +52 21 39.9,Lac,UG,--,18.8 - 21.9 g,331.81224999999995,52.36108333333333,ZTF18abburnj,0.05179697723308924
MASTER OT J220627.82+374653.5,000-BLG-123,22 06 27.86 +37 46 54.2,Lac,UG,--,16.2 - 22.0: CV CR,331.6160833333333,37.78172222222222,ZTF18abxywka,0.32027287959399287
MASTER OT J221252.42+465115.5,000-BLG-121,22 12 52.42 +46 51 15.5,Lac,UG,--,18.2 - ? CR,333.2184166666666,46.854305555555555,ZTF18ablsaka,0.37816340207815263
MASTER OT J221926.10+395436.3,000-BKZ-711,22 19 26.10 +39 54 36.3,Lac,UG,--,16.1 - <19.1 CR,334.85874999999993,39.91008333333333,,
MASTER OT J223315.51+393539.5,--,22 33 15.51 +39 35 39.5,Lac,UG,--,17.6 - <19.2 CR,338.314625,39.59430555555556,,
MASTER OT J223633.20+374621.1,000-BLS-056,22 36 33.23 +37 46 21.8,Lac,UG,--,16.2 - 21.3 g,339.1384583333333,37.77272222222222,ZTF18abvwidj,0.3476549513947395
MASTER OT J224751.44+364320.8,000-BLQ-294,22 47 51.46 +36 43 19.3,Lac,UG,--,15.6 - 21.6 g,341.96441666666664,36.72202777777778,ZTF18abmnmuw,0.0792007484297882
MASTER OT J224951.29+403802.7,000-BLZ-875,22 49 51.29 +40 38 02.7,Lac,UG,--,16.6 - <22 CR,342.46370833333333,40.63408333333333,ZTF22aasolik,1.2144979063535606
MASTER OT J225009.67+501411.2,000-BMB-758,22 50 09.67 +50 14 11.2,Lac,UG,--,16.4 - <22 CR,342.5402916666666,50.236444444444444,,
MASTER OT J225350.78+364434.5,--,22 53 50.78 +36 44 34.5,Lac,UG,--,17.8 - <19.7 CR,343.4615833333333,36.742916666666666,,
MASTER OT J225614.61+380815.3,--,22 56 14.61 +38 08 15.3,Lac,UG,--,17.2 - <18.0 CR,344.06087499999995,38.13758333333333,ZTF19aceiomh,0.6518537131969906
MASTER OT J225632.47+354238.1,000-BLS-055,22 56 32.47 +35 42 38.1,Lac,UG,--,16.9 - 21 CV CR,344.1352916666666,35.71058333333334,ZTF18ablvjse,0.6876112098019247
MGAB-V1046,--,22 05 07.01 +45 01 60.0,Lac,UG,--,18.1 - 21.8 g,331.27920833333326,45.03333333333333,ZTF18abtwhyo,0.17013341771546725
MGAB-V1047,--,22 06 10.88 +50 31 27.3,Lac,UG,--,17.0 - 20.8 g,331.5453333333333,50.52425,ZTF18abcxmlo,0.42712881643955547
MGAB-V1049,--,22 06 21.61 +51 03 48.1,Lac,UG+E,--,18.8 - 22.0: g,331.59004166666665,51.06336111111111,ZTF18aazwgov,0.24337671020937374
MGAB-V1058,--,22 14 50.77 +36 56 33.2,Lac,UG,--,17.4 - 21.0 g,333.7115416666667,36.94255555555555,ZTF17aabrhvu,0.14175193332737931
MGAB-V1060,--,22 20 11.69 +53 48 24.4,Lac,UGSU,--,17.6 - 21.8 g,335.04870833333325,53.806777777777775,ZTF18abajwbu,0.08484431185274943
MGAB-V1064,--,22 25 06.08 +41 50 19.3,Lac,UG,--,16.8 - 19.7 g,336.2753333333333,41.83869444444445,ZTF18abmeirl,0.03924090800898984
MGAB-V1065,--,22 25 26.60 +49 47 33.7,Lac,UG,--,17.4 - 21.1 G,336.36083333333335,49.79269444444444,ZTF18abbogcm,0.1513877185754622
MGAB-V1068,--,22 27 45.52 +45 31 15.5,Lac,UG,--,18.9 - 21.3 g,336.9396666666666,45.52097222222222,ZTF18aazgbwk,0.0659926713300308
MGAB-V1069,--,22 29 11.37 +43 18 57.4,Lac,UG,--,17.3 - 20.5 g,337.29737499999993,43.31594444444444,ZTF19abyxsbo,0.11259562185580593
MGAB-V1071,--,22 36 06.72 +49 23 01.7,Lac,UG,--,18.1 - 20.9 g,339.028,49.383805555555554,ZTF18abmroqu,0.1549038115925152
MGAB-V1073,--,22 38 27.41 +46 43 43.2,Lac,UG,--,17.7 - 21.6 g,339.6142083333333,46.72866666666667,ZTF17aabutsz,0.15786383229802042
MGAB-V1074,--,22 41 45.92 +56 22 30.0,Lac,UGZ,--,16.5 - 19.4 g,340.44133333333326,56.375,ZTF17aaaedrn,0.009220755379517215
MGAB-V1075,--,22 42 01.92 +56 28 42.2,Lac,UG+NL/VY,--,16.6 - 21.8 g,340.5079999999999,56.478388888888894,ZTF18abgpmxr,0.2134095311356606
MGAB-V1081,--,22 49 13.64 +51 20 03.9,Lac,CV,0.1418034,18.4 - 20.9 g,342.30683333333326,51.33441666666667,ZTF18abblxwa,0.23995626915046128
MGAB-V1082,--,22 53 23.27 +50 03 50.8,Lac,UG,--,18.9 - 21.5: g,343.34695833333325,50.06411111111111,ZTF18acsxbdw,0.1495671075295314
MGAB-V1089,--,22 56 57.88 +55 33 41.7,Lac,UGSU,--,17.6 - <21.4 g,344.24116666666663,55.56158333333333,ZTF18abcxmen,0.05944030743673969
MGAB-V1264,--,22 18 16.25 +40 53 05.6,Lac,UGSU,--,18.7 - 21.9 r,334.56770833333326,40.88488888888889,ZTF18abscevg,0.11832304777717034
