Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
ASASSN-19dp,000-BMZ-678,02 22 59.02 +43 39 13.1,And,AM,--,16.5 - 20.9 g,35.74591666666666,43.653638888888885,ZTF18abryuah,0.3785504105964605
BMAM-V789,000-BNS-414,02 33 58.15 +41 37 26.3,And,AM,0.0714789,18.5 - 21.7 r,38.49229166666666,41.62397222222222,ZTF18abtrvgp,0.1342562248501219
CSS 091026:002637+242916,--,00 26 37.06 +24 29 15.7,And,AM,--,17.1 - 21 CV,6.654416666666666,24.487694444444447,ZTF17aaaehby,0.3087691248287941
MGAB-V3453,--,00 35 53.37 +43 33 41.5,And,AM,--,18.2 - 20.9 r,8.972375,43.561527777777776,ZTF18abgjgiq,0.5224733104298058
MGAB-V3769,--,23 34 33.16 +40 25 50.2,And,AM,--,18.8 - 20.8 r,353.6381666666666,40.43061111111111,ZTF18abumlux,0.0310416881636209
V0358 Aqr,000-BDC-645,23 16 03.62 -05 27 08.9,Aqr,AM,0.1454516,15.7 - 20.2 g,349.0150833333333,-5.452472222222222,ZTF18absgnqy,0.1854113319169726
V0510 Aqr,--,21 46 53.35 -02 18 20.4,Aqr,AM,--,16.79 - 20.25 CV,326.72229166666665,-2.3056666666666663,ZTF19abisjkc,0.4646911057487828
SDSS J204827.91+005008.9,000-BJQ-879,20 48 27.91 +00 50 08.9,Aqr,AM,0.175,19.7 - ? s,312.11629166666665,0.8358055555555556,ZTF18abwvggo,0.3596882610423953
ASASSN-V J194125.07+152255.4,000-BMT-497,19 41 25.05 +15 22 55.3,Aql,AM,0.06485407,15.0 - 18.2 g,295.35437499999995,15.38202777777778,ZTF18aaxdlbl,0.7601020139145069
ZTF18absgzlu,--,20 11 04.09 +00 55 19.0,Aql,AM,--,17.3 - 21.0 r,302.76704166666667,0.9219444444444445,ZTF18absgzlu,0.1506370310473698
ZTF18acegnyn,--,20 00 38.69 +10 43 07.8,Aql,AM,--,16.7 - 21.9 g,300.16120833333326,10.718833333333334,ZTF18acegnyn,0.2738597118630392
CSS 071108:030945+295251,--,03 09 45.19 +29 52 51.0,Ari,AM,0.08468,14.8 - 18.9 CV,47.43829166666666,29.88083333333333,ZTF18aaadtna,0.5836818271834341
V0654 Aur,000-BFT-967,07 29 10.71 +36 58 38.6,Aur,AM,0.104,19.5 - 20.7 V,112.294625,36.97738888888889,ZTF18acywwfg,0.238673335220268
IPHAS J052832.69+283837.6,000-BFV-054,05 28 32.68 +28 38 37.7,Aur,AM,0.055592,15.3 - 17.0 r,82.13616666666665,28.64380555555556,ZTF17aabxrtj,1.6278021381950707
MGAB-V298,000-BNG-642,06 23 48.18 +40 49 42.6,Aur,AM,--,16.2 - 21.7 g,95.95075,40.828500000000005,ZTF18aagqeuv,0.0831573778318573
SDSS J153817.35+512338.0,000-BDB-429,15 38 17.34 +51 23 38.0,Boo,AM,0.06466,17.5 - 19.1 CV,234.57225,51.39388888888889,ZTF18aahmxsl,0.2642925791011209
BY Cam,000-BBK-030,05 42 48.80 +60 51 31.4,Cam,AM,0.139753,13.6 - 17.5 V,85.70333333333332,60.85872222222223,ZTF17aaarxou,0.6990092147152146
LW Cam,000-BDH-491,07 04 10.00 +62 03 27.8,Cam,AM,0.067547,17.0 - 20.0 V,106.04166666666666,62.05772222222222,ZTF17aaairkd,0.3532885224583008
BMAM-V786,000-BNS-372,04 47 42.35 +57 16 12.2,Cam,AM,--,18.8 - 20.4 r,71.92645833333333,57.27005555555556,ZTF19aabiema,0.0043467057710126
