Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation,Eclipsing,CV_Types,CV_subtypes,CV_subsubtypes,eclipse_clear,Clarity,manual_label,
ASASSN-19dp,000-BMZ-678,02 22 59.02 +43 39 13.1,And,AM,--,16.5 - 20.9 g,35.74591667,43.65363889,ZTF18abryuah,0.378550411,0,polar,,,,,,
BMAM-V789,000-BNS-414,02 33 58.15 +41 37 26.3,And,AM,0.0714789,18.5 - 21.7 r,38.49229167,41.62397222,ZTF18abtrvgp,0.134256225,0,polar,,,,,,
CSS 091026:002637+242916,--,00 26 37.06 +24 29 15.7,And,AM,--,17.1 - 21 CV,6.654416667,24.48769444,ZTF17aaaehby,0.308769125,0,polar,,,,,,
MGAB-V3453,--,00 35 53.37 +43 33 41.5,And,AM,--,18.2 - 20.9 r,8.972375,43.56152778,ZTF18abgjgiq,0.52247331,0,polar,,,,,,
MGAB-V3769,--,23 34 33.16 +40 25 50.2,And,AM,--,18.8 - 20.8 r,353.6381667,40.43061111,ZTF18abumlux,0.031041688,0,polar,,,,,,
V0358 Aqr,000-BDC-645,23 16 03.62 -05 27 08.9,Aqr,AM,0.1454516,15.7 - 20.2 g,349.0150833,-5.452472222,ZTF18absgnqy,0.185411332,0,polar,,,,,,
V0510 Aqr,--,21 46 53.35 -02 18 20.4,Aqr,AM,--,16.79 - 20.25 CV,326.7222917,-2.305666667,ZTF19abisjkc,0.464691106,0,polar,,,,,,
SDSS J204827.91+005008.9,000-BJQ-879,20 48 27.91 +00 50 08.9,Aqr,AM,0.175,19.7 - ? s,312.1162917,0.835805556,ZTF18abwvggo,0.359688261,0,polar,,,,,,
ASASSN-V J194125.07+152255.4,000-BMT-497,19 41 25.05 +15 22 55.3,Aql,AM,0.06485407,15.0 - 18.2 g,295.354375,15.38202778,ZTF18aaxdlbl,0.760102014,0,polar,,,,,,
ZTF18absgzlu,--,20 11 04.09 +00 55 19.0,Aql,AM,--,17.3 - 21.0 r,302.7670417,0.921944444,ZTF18absgzlu,0.150637031,0,polar,,,,,,
ZTF18acegnyn,--,20 00 38.69 +10 43 07.8,Aql,AM,--,16.7 - 21.9 g,300.1612083,10.71883333,ZTF18acegnyn,0.273859712,0,polar,,,,,,
CSS 071108:030945+295251,--,03 09 45.19 +29 52 51.0,Ari,AM,0.08468,14.8 - 18.9 CV,47.43829167,29.88083333,ZTF18aaadtna,0.583681827,0,polar,,,,,,
V0654 Aur,000-BFT-967,07 29 10.71 +36 58 38.6,Aur,AM,0.104,19.5 - 20.7 V,112.294625,36.97738889,ZTF18acywwfg,0.238673335,0,polar,,,,,,
IPHAS J052832.69+283837.6,000-BFV-054,05 28 32.68 +28 38 37.7,Aur,AM,0.055592,15.3 - 17.0 r,82.13616667,28.64380556,ZTF17aabxrtj,1.627802138,0,polar,,,,,,
MGAB-V298,000-BNG-642,06 23 48.18 +40 49 42.6,Aur,AM,--,16.2 - 21.7 g,95.95075,40.8285,ZTF18aagqeuv,0.083157378,0,polar,,,,,,
SDSS J153817.35+512338.0,000-BDB-429,15 38 17.34 +51 23 38.0,Boo,AM,0.06466,17.5 - 19.1 CV,234.57225,51.39388889,ZTF18aahmxsl,0.264292579,0,polar,,,,,,
BY Cam,000-BBK-030,05 42 48.80 +60 51 31.4,Cam,AM,0.139753,13.6 - 17.5 V,85.70333333,60.85872222,ZTF17aaarxou,0.699009215,0,polar,,,,,,
LW Cam,000-BDH-491,07 04 10.00 +62 03 27.8,Cam,AM,0.067547,17.0 - 20.0 V,106.0416667,62.05772222,ZTF17aaairkd,0.353288522,0,polar,,,,,,
BMAM-V786,000-BNS-372,04 47 42.35 +57 16 12.2,Cam,AM,--,18.8 - 20.4 r,71.92645833,57.27005556,ZTF19aabiema,0.004346706,0,polar,,,,,,
Gaia22dcy,000-BPK-831,07 09 11.73 -23 05 25.7,CMa,AM,--,18.5 - 20.9 G,107.298875,-23.09047222,ZTF18aculrrh,0.031193482,0,polar,,,,,,
CSS 100108:081031+002429,--,08 10 30.61 +00 24 28.5,CMi,AM,0.08066,17.2 - 21.3 r CV,122.6275417,0.407916667,ZTF18acnnsmq,0.230989687,0,polar,,,,,,
Gaia19cvs,000-BND-870,00 53 57.82 +65 45 22.7,Cas,AM,0.055359,17.8 - 20.9 G,13.49091667,65.75630556,ZTF18abcrbmk,0.29471178,0,polar,,,,,,
ZTF18abotrwy,--,02 00 38.47 +61 31 17.6,Cas,AM,--,18.8 - 21.2 r,30.16029167,61.52155556,ZTF18admxenl,0.242404366,0,polar,,,,,,
Swift J2341.0+7645,000-BPG-152,23 40 20.57 +76 42 10.4,Cep,AM,0.1008034,16.3 - 19.6 r,355.0857083,76.70288889,ZTF18abwiccd,0.324113887,0,polar,,,,,,
EQ Cet,000-BCY-729,01 28 52.54 -23 39 44.0,Cet,AM,0.064455,16.6 - 18.9 CV,22.21891667,-23.66222222,ZTF18abwpsyj,0.537631454,0,polar,,,,,,
CSS 120104:010558-085437,--,01 05 58.34 -08 54 37.4,Cet,AM,--,16.7 - 20.5 CV,16.49308333,-8.910388889,ZTF18abtmpnp,0.24123238,0,polar,,,,,,
SDSS J133309.19+143706.9,000-BJQ-851,13 33 09.19 +14 37 06.9,Com,AM,0.092,18.5 - 19.8 g,203.2882917,14.61858333,ZTF18aaznyge,0.195311764,0,polar,,,,,,
AP CrB,000-BDB-457,15 54 12.40 +27 21 51.2,CrB,AM,0.105462,16.5 (0.65) R,238.5516667,27.36422222,ZTF18aaylcic,1.69601196,0,polar,,,,,,
BM CrB,000-BDB-435,15 41 04.69 +36 02 52.9,CrB,AM,0.0585,16.5 - 20.5 CV,235.2695417,36.04802778,ZTF18aagrcve,0.35735632,0,polar,,,,,,
