ZTFID	IAUID	discdate	RA	Dec	peakt	peakfilt	peakmag	peakabs	duration	rise	fade	type	redshift	b	A_V
ZTF19abirmkt	AT2019pih	39:00.0	00:44:18.18	+41:32:47.0	803.76	r	17.9091	-6.639	12.936	5.031	7.905	nova	0.00017	-21.30536854	0.17
ZTF19abzsnqm	AT2019qml	46:07.0	01:33:52.72	+30:44:36.1	749.82	g	18.6657	-6.03	15.387	6.551	8.836	nova	0.00019	-31.24766331	0.113
ZTF19acbzgog	AT2019rsi	13:05.0	00:42:23.53	+41:11:52.2	764.66	g	17.909	-6.702	4.078	3.083	0.995	nova	0.00017	-21.64163305	0.17
ZTF19acfsteg	AT2019stm	50:36.0	00:40:05.04	+39:53:57.2	781.63	r	16.6038	-7.957	4.106	3.102	1.004	nova	0.00017	-22.92025234	0.17
ZTF19acgfhfd	AT2019sxc	09:27.0	00:43:01.55	+41:17:59.7	779.63	r	16.8176	-7.643	7.177	1.986	5.191	nova	0.00017	-21.54397344	0.17
ZTF19acnfsij	AT2019uiz	29:24.0	00:42:30.37	+41:03:29.2	800.79	r	18.3325	-6.216	18.691	7.796	10.895	nova	0.00017	-21.78205043	0.17
ZTF19acqprad	AT2019uky	40:34.0	00:44:25.13	+41:33:18.0	796.61	r	18.3614	-6.099	25.439	1.805	23.634	nova	0.00017	-21.29739606	0.17
ZTF19acxrihd	AT2019wkp	52:23.0	00:39:55.41	+40:46:01.2	828.69	r	17.9722	-6.576	13.589	4.661	8.928	nova	0.00017	-22.05204155	0.17
ZTF19adakuos	AT2019wvf	32:12.0	00:42:20.47	+41:14:59.8	837.58	r	17.3905	-7.158	11.728	1.977	9.751	nova	0.00017	-21.58916472	0.17
ZTF20abqhsxb	AT2020qxo	12:28.0	00:41:59.60	+41:00:48.4	1069.93	r	17.8086	-6.652	3.109	1.569	1.54	nova	0.00017	-21.82293425	0.17
ZTF20abzbtgm	AT2020tvc	23/09/2020	00:41:35.40	+40:50:14.6	1116.85	r	18.947	-5.513	10.201	2.005	8.196	nova	0.00017	-21.99579786	0.17
ZTF20aceeeuz	AT2020upt	47:17.7	01:34:05.61	+30:57:29.3	1131.93	r	18.4224	-6.236	9.42	5.539	3.881	nova	0.00019	-31.02803715	0.118
ZTF20acfucwr	AT2020ulv	04:22.0	00:43:08.38	+41:08:49.9	1123.89	g	16.952	-7.571	3.977	1.044	2.933	nova	0.00017	-21.69731887	0.17
ZTF20acgigfo	AT2020urd	55:14.0	00:40:31.08	+40:35:53.8	1127.8	r	17.0525	-7.408	3.275	1.992	1.283	nova	0.00017	-22.22585078	0.17
ZTF20acoqrpm	AT2020yky	2020-11-17T17:41:48.215934	00:42:20.16	+41:14:28.1	1155.72	g	16.8065	-7.717	4.476	0.508	3.968	nova	0.00017	-21.59794477	0.17
ZTF20acozbod	AT2020yug	05/11/2020	00:42:57.73	+41:08:12.2	1157.82	r	18.4943	-5.966	>1.03	1.03	>0	nova	0.00017	-21.70660639	0.17
ZTF20acplkub	AT2020aabh	25:30.7	00:39:30.06	+40:31:00.8	1164.81	r	18.3071	-6.153	>17.909	>0.035	>17.874	nova	0.00017	-22.29788229	0.17
ZTF21aaarlbp	AT2021bl	30:20.0	01:33:21.99	+30:33:01.2	1218.68	r	17.7769	-6.882	1.515	0.598	0.917	nova	0.00019	-31.45815063	0.118
ZTF21aalcrjh	AT2021dhg	38:42.0	12:56:47.68	+21:38:52.8	1265.92	g	18.6859	-10.28	4.176	3.113	1.063	nova	0.00136	84.38576074	0.114
ZTF21abjiotr	AT2021scd	2021-07-05T00:15:42.746257	00:42:17.92	+41:00:18.5	1401.94	r	18.3852	-6.075	7.192	3.279	3.913	nova	0.00017	-21.83351363	0.17
ZTF21acbcfmh	AT2021ypo	26:12.2	00:43:22.61	+41:19:02.3	1470.91	r	16.3467	-8.114	2.307	0.535	1.772	nova	0.00017	-21.52882123	0.17
ZTF21acbutpl	AT2021yul	45:53.3	00:40:45.58	+41:45:20.0	1472.89	r	16.3827	-8.319	3.623	0.631	2.992	nova	0.00019	-21.0718129	0.17
ZTF21ackfkfz	AT2021acwv	53:00.1	00:42:54.24	+41:16:50.6	1520.8	g	17.4859	-7.038	12.726	3.062	9.664	nova	0.00017	-21.56232288	0.17
ZTF22aatixbc	AT2022oyb	57:03.2	00:42:29.41	+41:15:43.2	1778.95	r	17.4791	-6.981	>13.034	>3.03	10.004	nova	0.00017	-21.57819678	0.17
ZTF22aazdzyj	AT2022qpg	53:31.8	00:44:20.78	+41:23:10.8	1798.95	r	17.2955	-	>5.089	>0.04	>5.049	nova	-	-21.4655932	0.17
ZTF22aazmooy	AT2022qzf	17:11.0	00:42:09.42	+41:15:31.2	1801.97	r	17.0094	-7.451	>1.959	>0.04	>1.919	nova	0.00017	-21.57915768	0.17
ZTF22abfxmpc	AT2022ubf	12:23.0	00:42:30.04	+41:56:12.5	1839.81	g	17.553	-6.97	>1.45	>0	>1.45	nova	0.00017	-20.90391014	0.17
ZTF22abnrgno	AT2022yax	2022-10-21T16:39:01.990270	00:43:45.84	+41:15:58.6	1873.68	r	18.7184	-	>41.972	>1.98	39.992	nova	-	-21.58223057	0.17
ZTF22abtltcw	AT2022zzj	13:32.2	00:41:25.72	+40:44:23.3	1913.67	r	17.0527	-7.408	>20.726	>11	9.726	nova	0.00017	-22.09204591	0.17
ZTF23aabvpgb	AT2023bji	11:31.2	05:43:48.25	+62:58:41.6	1983.69	g	16.329	-	8.836	2.99	5.846	nova	-	16.77455966	0.403
