oid_ztf,ra,dec,ra_error,dec_error,parallax,parallax_error,pm,pmra_error,pmdec_error,nu_eff_used_in_astrometry,astrometric_sigma5d_max,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,distance,absmag_g,absmag_bp,absmag_rp
ZTF17aabpjjg,349.8771667,51.83816667,0.3840211,0.307143,-0.07693415318931102,0.54402167,1.5648253,0.5061722,0.54644734,,0.90412027,307.0,145.67133452502733,2.698168,20.278933,38.0,79.89180724963131,5.2727494,20.582287,37.0,126.33188482561106,8.395707,19.494114,1.0881729,0.30335426,0.78481865,108.81342975609115,-8.49571420876014,19.309252632413894,49.87013406933818,-12998.128380503664,,,
ZTF19ablnrfz,338.2213333,57.00183333,0.96404296,1.5578225,1.2930204947320314,2.1508641,11.656643,1.4855797,1.187577,,2.599686,134.0,98.6720298342696,1.9918439,20.701881,9.0,39.469537403811714,6.241064,21.347887,15.0,69.9589175724427,8.125546,20.135788,1.2120991,0.64600563,0.56609344,104.89707880757554,-0.9374623843732647,16.334650737401194,58.196178972585635,773.3829464220846,11.2599084518037,11.905914082296864,10.69381500697948
ZTF18aabvkix,253.4960833,20.16955556,0.03963193,0.046842773,1.3009640646507312,0.067018546,7.7731004,0.052689847,0.07030873,1.632497,0.10095161,390.0,1081.7861260175537,11.3906975,18.102013,43.0,682.5706561979074,26.754604,18.253174,42.0,680.4050165690815,24.711786,17.665977,0.58719635,0.1511612,0.43603516,39.69307513844106,34.53185606115194,248.83066565839925,42.403504737750765,768.6607395020317,8.673339137302673,8.824500331150329,8.237303981052673
ZTF18aabhjxp,89.44883333,54.33130556,0.040156566,0.03919074,0.4932256992386526,0.054353617,3.4386554,0.04378167,0.041943204,1.559963,0.072134994,306.0,5991.290757141399,60.11735,16.243567,35.0,3136.984576133575,126.742,16.597261,34.0,4361.244881722529,110.793396,15.6488695,0.9483919,0.35369492,0.594697,158.79234205986916,14.48240890834494,89.62549194227199,30.89272697012237,2027.4693746566907,4.708794998936696,5.0624899147081805,4.114098000340505
ZTF19acgftux,276.88525,86.78330556,0.57275724,0.5437806,0.1396056974069804,0.53419644,4.0466404,0.8142208,0.6851257,,1.3621463,256.0,123.02845772776135,1.1811523,20.462353,18.0,55.798367743176534,10.070096,20.971989,26.0,118.42799424732051,7.4133673,19.56426,1.4077282,0.5096359,0.89809227,119.32739631237281,27.41701127074484,88.88638065078821,69.75075828829785,7163.031441938839,6.186868465250271,6.6965043905432395,5.28877619535281
ZTF18aabfdzz,54.92079167,41.80161111,0.030929303,0.024592027,1.0075001521580045,0.0363796,7.1916976,0.04450672,0.035984565,1.6704285,0.063476175,335.0,14380.122720224512,188.94405,15.29296,38.0,9092.599491282264,394.97147,15.441822,37.0,7793.517693787573,300.51962,15.018561,0.4232607,0.14886189,0.2743988,153.49786026751968,-10.87258221476836,62.553021903681405,21.646930046945037,992.5556813644746,5.309185768944166,5.458047654014967,5.034786965233229
ZTF18acgodtz,104.5493333,6.657083333,0.053815454,0.049101252,0.5081771474047637,0.05448344,3.2375457,0.0646167,0.052470095,1.4726317,0.09384002,175.0,4868.624929500621,16.234003,16.468851,22.0,2281.0639765894516,64.188805,16.9432,22.0,3970.308581345901,51.232574,15.750834,1.1923647,0.47434807,0.7180166,207.76265395751818,4.526993772044281,105.04684460457274,-16.025461436642686,1967.8177287328876,4.998926744690753,5.473274812928057,4.280910120240069
ZTF17aaanzaz,52.7685,17.42783333,0.1783558,0.15161146,0.7666898926423571,0.20644873,3.7234662,0.2831091,0.20978753,,0.4038361,239.0,488.88560794491684,17.68078,18.964348,22.0,307.89751315122146,64.40106,19.117527,24.0,410.1516000667449,40.015945,18.215534,0.9019928,0.15317917,0.7488136,168.49196992497508,-30.982099107937817,54.72658978283617,-1.56898262478041,1304.308312391535,8.387446529064418,8.54062569776559,7.638632899914027
ZTF18abmmzzz,323.978375,23.61233333,0.42573923,0.36398822,1.1048765669266138,0.5111535,15.83041,0.5544745,0.35556573,1.6394981,0.8740433,281.0,160.0920642639586,2.6449842,20.176443,24.0,97.11550336481031,9.22996,20.370321,25.0,108.35088448739671,9.05742,19.660814,0.709507,0.19387817,0.5156288,75.37413168420834,-20.709723518103168,335.67105695566727,35.57984237815728,905.0784765773933,10.393011914077153,10.586890087905278,9.877383099379887
ZTF20aarfjgo,93.70308333,9.574388889,0.04664278,0.043816168,2.2980763233702564,0.058617454,8.189496,0.059840005,0.048705444,1.5971981,0.085029945,223.0,203067.25905321448,2476.122,12.418267,26.0,120976.57329544373,5529.689,12.631789,26.0,124769.42260950776,3331.8762,12.007625,0.6241646,0.21352196,0.41064262,200.22126468395803,-3.6584305298965223,93.76041136402358,-13.816602885587283,435.146557070587,4.225089491639823,4.438611449037284,3.8144468677384555
