feature,vif
dif_min_median_g,inf
dif_min_mean_g,inf
dif_max_mean_r,inf
dif_max_min_r,inf
phot_bp_mean_mag,3002399751580330.5
bp_rp,2251799813685248.0
phot_g_mean_mag,2251799813685248.0
Mean_g,795810.1869836609
Mean_r,780754.6690638285
median_r,40836.179005758495
max_mag_g,23083.502019400436
median_g,13777.698795406326
max_mag_r,9343.39643553815
absmag_bp,5827.420977869311
StructureFunction_index_21_g,3987.125096050461
absmag_g,3833.0274049241366
Std_r,2969.516057612712
StructureFunction_index_21_r,2820.370823103818
min_mag_g,2268.0341678054706
Meanvariance_g,1400.0813904892327
phot_rp_mean_mag,1071.7024265504267
dif_max_min_g,908.3520791598222
nu_eff_used_in_astrometry,697.9572540045617
phot_bp_n_obs,685.5778362373361
dif_min_median_r,639.1364980277657
dif_max_median_g,488.95182512885947
phot_g_mean_flux,397.5551077920422
min_mag_r,392.12436322328784
Std_g,329.9786704726499
Amplitude_r,325.2176487561993
StetsonK_r,310.9774248713172
StructureFunction_index_32_r,281.6106786753842
StructureFunction_index_32_g,252.60734532586068
StetsonK_g,205.21102909487163
Meanvariance_r,204.03524414484397
dif_max_median_r,179.69539164051736
StetsonK_AC_g,148.67818103267663
Amplitude_g,140.24908929788725
dif_min_mean_r,119.16486366981883
StetsonK_AC_r,115.09937285246009
phot_g_n_obs,111.96307570429745
pwr_max_g,108.17323604919507
FluxPercentileRatioMid80_r,106.83014770291196
PercentAmplitude_g,102.16345680075013
FluxPercentileRatioMid80_g,92.74940887480966
FluxPercentileRatioMid50_r,77.24202999768542
clr_mean,76.6397225322266
AndersonDarling_g,76.53999029029848
SmallKurtosis_g,70.49541420831552
PercentDifferenceFluxPercentile_r,66.62479276129696
StetsonJ,64.62159902142334
FluxPercentileRatioMid50_g,63.43473792187051
Rcs_g,57.67989813968457
pnts_leq_rollMedWin20-1mag_g,53.78699055281123
Freq3_harmonics_amplitude_0_g,53.499818704748826
temporal_baseline_g,51.254333377439806
dif_max_mean_g,50.92625604464011
AndersonDarling_r,49.62655580034922
Freq2_harmonics_amplitude_0_r,48.519589267397706
Psi_CS_r,44.9095555879384
absmag_rp,44.22056801753679
FluxPercentileRatioMid65_g,44.04337647775579
kurtosis_r,43.72677569805653
n_obs_r,40.757014631561994
Freq2_harmonics_amplitude_0_g,40.12374952020344
Freq3_harmonics_amplitude_0_r,38.32193370404218
pnts_leq_rollMedWin20-1mag_r,36.505783206785615
Psi_CS_g,36.3641269135368
FluxPercentileRatioMid65_r,35.437054357344884
MedianBRP_r,31.72452504342584
npeaks_2to5_r,31.283520117717927
phot_g_mean_flux_error,30.89888693695395
Freq3_harmonics_amplitude_2_g,30.273202034010236
Freq1_harmonics_amplitude_0_g,29.079422689631045
Beyond1Std_r,28.706047633764094
Rcs_r,28.564256484455015
PercentAmplitude_r,27.329322828428815
pnts_leq_rollMedWin20-2mag_g,27.17983534544742
Freq1_harmonics_amplitude_0_r,26.607040308680652
stdstilllev_t20s10_g,26.51705149495371
Freq3_harmonics_amplitude_2_r,25.730216187021316
pmra_error,25.57203760527206
pnts_geq_rollMedWin20+1mag_g,23.881371628580872
