objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,association_type,separationArcsec,description
ZTF17aadnmap,93.9330395375,28.585666275,15.8933,15.7523,16.3251,15.9854,0.140967,0.33969974517822266,0.0369643,0.0447205,0.0742096,18.7953,-2.9019994735717773,-3.0543994903564453,51.45008100010455,CV,1,GSC/PS1/RITTER/DOWNES,CV,0.12,"The transient is synonymous with <em>N8DT025929</em>; a V=14.91 mag CV found in the GSC/PS1/RITTER/DOWNES catalogues. Its located 0.1"" from the CV core."
ZTF17aabvqzm,83.14146185454545,62.797882063636365,18.0246,17.0656,16.8732,16.8128,0.813599,0.06040000915527344,-0.559812,0.0292451,0.530323,15.914,2.1105995178222656,1.3397998809814453,51.44817129988223,CV,1,SDSS/MILLIQUAS/GSC/DOWNES/RITTER/PS1/GAIA,CV,0.47,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237666464796377346"">SDSS J053233.91+624752.2</a></em>; a V=16.86 mag cv found in the SDSS/MILLIQUAS/GSC/DOWNES/RITTER/PS1/GAIA catalogues. Its located 0.5"" from the cv core."
ZTF18acuxibg,88.30339495,59.93011713333333,17.8433,18.0668,18.3975,18.5308,-0.22352,-0.13330078125,0.158521,0.156659,7.03992,-999.0,1016.8432998657227,1017.0667991638184,51.44817129988223,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aafgyrz,201.9549012,-4.7128049,20.0793,20.2718,20.2489,20.2718,-0.00319862,-0.022899627685546875,0.0467534,,14.48,-999.0,1019.0792999267578,1019.2717990875244,51.30446759983897,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF21abbqsks,254.49454663333333,46.057983666666665,20.5929,20.8457,20.7556,20.8457,-0.252811,-0.09009933471679688,0.0108523,,2.76856,18.3762,2.2166996002197266,2.7762985229492188,51.175393499899656,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF19aacsgha,104.84025687500001,25.431784225,19.5896,19.5295,19.85,19.9418,-0.7673,-0.09179878234863281,-0.0341036,0.116267,0.114405,20.0905,-0.5009002685546875,-0.06150054931640625,50.47098380001262,CV,1,RITTER/PS1,CV,0.18,"The transient is synonymous with <em>J0659+2525</em>; an r=19.45 mag CV found in the RITTER/PS1 catalogues. Its located 0.2"" from the CV core."
ZTF23aafzpdh,139.7784238,-10.708683899999999,20.2432,20.629,20.3271,20.629,-0.218,-0.3018989562988281,0.0278728,,2.56626,17.4331,2.810100555419922,4.103099822998047,50.45449069980532,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF23aafzrlw,118.70260241999999,26.89056944,20.8074,20.7955,20.7697,20.8112,0.0119267,-0.041500091552734375,-0.0990393,0.0158628,7.30351,-999.0,1019.8073997497559,-0.8833999633789062,50.45023149996996,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
ZTF17aacqong,98.05432846,25.60614412,16.6963,16.2441,16.8857,16.4775,0.4522,0.4081993103027344,0.185192,0.261221,0.64873,15.4975,1.1988000869750977,1.2077007293701172,50.440729199908674,CV,1,SDSS/GSC/RITTER/PS1/GAIA,CV,0.61,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237673755499496352"">SDSS J063213.08+253622.5</a></em>; a V=15.16 mag CV found in the SDSS/GSC/RITTER/PS1/GAIA catalogues. Its located 0.6"" from the CV core."
ZTF18aacluoi,124.0451352625,45.5028316625,19.9017,19.787,20.0459,19.9948,0.114656,0.05109977722167969,0.0489382,295.739,0.107058,19.4634,0.43829917907714844,0.7419013977050781,50.39600689988583,CV,1,SDSS/GSC/DOWNES/PS1/RITTER,CV,0.08,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237651190817620274"">SDSS J081610.83+453010.1</a></em>; a B=19.41 mag cv found in the SDSS/GSC/DOWNES/PS1/RITTER catalogues. Its located 0.1"" from the cv core."
ZTF23aageuaj,303.367459075,67.895914675,21.0133,20.5734,20.9905,20.5845,0.439854,0.40600013732910156,-0.0239609,0.00100429,0.501417,20.5638,0.44949913024902344,0.35160064697265625,50.20993059966713,UNCLEAR,3,GSC,UNCLEAR,0.51,"The transient is possibly associated with <em>N1JS011637</em>; a B=19.75 mag unclassified source found in the GSC catalogue. Its located 0.41"" S, 0.30"" W from the objects source centre."
ZTF23aaelenm,105.82053566000002,21.533513380000002,19.782,19.7467,19.782,19.748,0.0242004,0.034000396728515625,,0.00562536,6.29913,-999.0,1018.7819995880127,-1.8664989471435547,49.487314799800515,UNCLEAR,3,PS1,UNCLEAR,0.63,"The transient is possibly associated with <em>133841058201840794</em>; an r=22.49 mag uncertain found in the PS1 catalogue. Its located 0.41"" S, 0.48"" E from the uncertain centre."
ZTF22abkapal,117.95434035999999,80.89120262,20.3117,20.2001,20.3407,20.2001,0.2845,0.14060020446777344,0.0838212,,0.368215,20.8998,-0.5880985260009766,-0.6396007537841797,49.408425899688154,UNCLEAR,3,GSC,UNCLEAR,0.86,"The transient is possibly associated with <em>N7AH007486</em>; an unknown-mag unclassified source found in the GSC catalogue. Its located 0.83"" N, 0.24"" E from the objects source centre."
ZTF22abnvlts,139.741260625,79.75485535,20.2424,20.4081,20.3366,20.4081,-0.1581,-0.07150077819824219,206.724,,0.191428,19.9972,0.24519920349121094,0.36090087890625,49.406411999836564,ORPHAN,0,0,0,0.0,No contexual information is available for this transient
