objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,sgscore1,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,physical_separation_kpc,direct_distance,distance,z,photoZ,major_axis_arcsec,tns_prefix,association_type,description
ZTF19aaprgqb,331.2743215058823,37.73484363529411,19.0322,18.5052,18.8961,18.5368,0.526995,0.3592987060546875,0.1772,0.09397,0.126462,19.215,-0.18280029296875,-0.6743011474609375,0.990708,4.296273191925138,VS,1,PS1,0.05,0.0,0.0,0.0,0.0,0.0,4.24,AT,VS,"The transient is synonymous with <em>153283312743882483</em>; an r=19.43 mag stellar source found in the PS1 catalogue. Its located 0.0"" from the stellar source core."
ZTF18abmarba,320.28718315833333,30.57063418333333,16.8086,18.1235,16.5888,17.8089,-0.6385,-1.2201004028320312,-0.0589448,,0.12145,20.6548,-3.846200942993164,-2.20159912109375,0.890167,4.273564791772515,VS,1,PS1,0.09,0.0,0.0,0.0,0.0,0.0,4.83,AT,VS,"The transient is synonymous with <em>144683202873585462</em>; an r=20.53 mag stellar source found in the PS1 catalogue. Its located 0.1"" from the stellar source core."
ZTF18admatrp,320.28718449090917,30.57063044545454,16.8086,18.1638,16.5888,17.7574,-0.6385,-1.168600082397461,-0.0589448,,0.0764501,20.6548,-3.846200942993164,-2.1613006591796875,0.890167,8.159571791999042,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,4.83,AT,VS,"The transient is synonymous with <em>144683202873585462</em>; an r=20.53 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18acaqjda,308.1035837375,60.476837849999995,19.5761,19.4474,17.7398,17.9372,0.128683,-0.1974010467529297,-0.383708,-0.494521,0.116889,21.5952,-2.0191001892089844,-1.0694007873535156,0.901208,21.142592592164874,VS,1,PS1,0.25,0.0,0.0,0.0,0.0,0.0,4.0,AT,VS,"The transient is synonymous with <em>180573081035653013</em>; an r=20.60 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abhdwng,286.136985875,-10.417801475000001,19.2238,19.0874,19.2695,19.1784,0.136356,0.09110069274902344,0.00366711,0.0073291,0.111995,20.5447,-1.3208999633789062,-1.0935001373291016,0.86075,17.215972192119807,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,4.4,AT,VS,"The transient is synonymous with <em>95492861369839055</em>; an r=20.70 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF21abmocur,284.27637535,-24.0380851,18.4897,18.543,18.4897,18.543,-0.0533295,-0.0532989501953125,,,3.64117,-999.0,1017.4897003173828,-3.2202014923095703,0.554554,53.13188659213483,SN,2,PS1,3.74,0.0,0.0,0.0,0.0,0.0,0.0,AT,SN,"The transient is possibly associated with <em>79152842752694469</em>; an r=22.11 mag galaxy found in the PS1 catalogue. Its located 0.38"" N, 3.72"" E from the galaxy centre."
ZTF17aaaajjx,317.7861625363637,45.34029913636363,18.052,17.4182,17.8567,17.3905,-0.221001,0.4662017822265625,,,0.0301119,27.871,-9.819000244140625,-6.57080078125,0.946375,5.2969212918542325,VS,1,PS1,0.16,0.0,0.0,0.0,0.0,0.0,3.97,AT,VS,"The transient is synonymous with <em>162403177862349005</em>; an r=18.91 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abdkvgf,327.14923150000004,44.51946875,18.5197,18.4644,18.5197,18.4644,0.0552826,0.05529975891113281,,,0.112391,21.1229,-2.603200912475586,-2.2121009826660156,0.737068,52.09818289196119,VS,2,PS1,2.34,0.0,0.0,0.0,0.0,0.0,4.0,AT,VS,"The transient is possibly associated with <em>161423271500343630</em>; an r=21.20 mag stellar source found in the PS1 catalogue. Its located 1.30"" N, 1.95"" W from the stellar source centre."
ZTF21abrxmne,328.9519814666666,56.280966546666676,19.7591,19.211,18.7089,18.2401,0.548103,0.4687995910644531,-0.101205,-0.104932,1.70814,21.3669,-1.6077995300292969,-0.8256988525390625,0.932866,20.124536992050707,VS,2,GAIA/PS1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is possibly associated with <em>2198897430192004480</em>; a G=19.84 mag stellar source found in the GAIA/PS1 catalogues. Its located 0.68"" N, 1.56"" W from the stellar source centre."
ZTF20acbafxl,277.36699376666667,28.476869466666667,15.2239,17.6861,15.2239,16.5717,-0.2335,-1.347799301147461,,-0.759539,0.116155,20.7941,-5.570199966430664,-2.6203994750976562,0.98175,27.24582179216668,VS,1,PS1,0.14,0.0,0.0,0.0,0.0,0.0,3.88,AT,VS,"The transient is synonymous with <em>142172773670102877</em>; an r=20.22 mag stellar source found in the PS1 catalogue. Its located 0.1"" from the stellar source core."
