objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,tns_prefix,association_type,description
ZTF17aaaehby,6.654332099999999,24.487672357142856,17.9245,17.6531,18.1177,18.1981,0.271414,-0.0803985595703125,0.0295314,0.127333,0.134094,20.8321,-2.9076004028320312,-1.863800048828125,0.3093981249257922,VS,1,SDSS/GSC/PS1,0.24,AT,VS,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237666308561567773"">SDSS J002637.05+242915.7</a></em>; a V=18.71 mag stellar source found in the SDSS/GSC/PS1 catalogues. Its located 0.2"" from the stellar source core."
ZTF17aaburzk,328.43609818,12.59001934,18.4686,18.668,19.7128,19.2753,-0.199394,0.4375,0.115441,0.0639141,0.155549,21.9907,-3.5221004486083984,-3.0291004180908203,0.3245833250693977,SN,2,NED/SDSS/GAIA/PS1,0.07,AT,SN,"The transient is possibly associated with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ215344.68%2B123524.0&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ215344.68%2B123524.0</a></em>; a G=18.28 mag galaxy found in the NED/SDSS/GAIA/PS1 catalogues. Its located 0.01"" N, 0.07"" W from the galaxy centre."
ZTF18aabylvn,214.49814515357144,25.13683442142857,15.1855,14.7616,15.1533,14.8529,0.3345,0.3004007339477539,0.0266605,0.0131088,0.0144569,14.5139,0.671600341796875,0.7244997024536133,0.5474884249269962,AGN,1,NED D/SDSS/MILLIQUAS/GAIA/LASR/PS1/VERON,0.03,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=NGC5548&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">NGC5548</a></em>; a G=14.30 mag galaxy found in the NED_D/SDSS/MILLIQUAS/GAIA/LASR/PS1/VERON catalogues. Its located 0.0"" (0.0 Kpc) from the galaxy core. A host distance of 92.5 Mpc(z=0.017) implies a <em>m - M =</em> 34.83."
ZTF18aabylvn,214.49814515357144,25.13683442142857,15.1855,14.7616,15.1533,14.8529,0.3345,0.3004007339477539,0.0266605,0.0131088,0.0144569,14.5139,0.671600341796875,0.7244997024536133,0.5474884249269962,AGN,1,NED D/SDSS/MILLIQUAS/GAIA/LASR/PS1/VERON,0.03,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=NGC5548&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">NGC5548</a></em>; a G=14.30 mag galaxy found in the NED_D/SDSS/MILLIQUAS/GAIA/LASR/PS1/VERON catalogues. Its located 0.0"" (0.0 Kpc) from the galaxy core. A host distance of 92.5 Mpc(z=0.017) implies a <em>m - M =</em> 34.83."
ZTF18aahzwvx,239.79024878666667,35.02983813666667,17.3112,17.0925,17.6562,17.3875,0.1178,0.26869964599609375,0.180068,0.0529854,0.391176,15.8406,1.4705991744995117,1.4114007949829102,0.5718055251054466,AGN,1,NED D/SDSS/MILLIQUAS/GAIA/PS1/VERON,0.27,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=UGC10120&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">UGC10120</a></em>; a G=15.86 mag galaxy found in the NED_D/SDSS/MILLIQUAS/GAIA/PS1/VERON catalogues. Its located 0.3"" (0.1 Kpc) from the galaxy core. A host distance of 46.0 Mpc(z=0.032) implies a <em>m - M =</em> 33.31."
ZTF18aaiavwc,219.62599460500002,35.654474150000006,18.564,18.6179,18.5525,18.7613,-0.0184002,-0.2087993621826172,-0.0122744,0.0975001,0.183357,18.8578,-0.29380035400390625,0.11630058288574219,0.5479629249311984,AGN,1,NED/MILLIQUAS/VERON,0.17,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=SDSSJ143830.23%2B353916.1&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">SDSSJ143830.23%2B353916.1</a></em>; a 18.90 mag AGN found in the NED/MILLIQUAS/VERON catalogues. Its located 0.2"" (0.7 Kpc) from the AGN core. A host z=0.262 implies a <em>m - M =</em> 40.62."
ZTF18aaijwki,205.0346094972973,39.21163659729729,19.2934,19.3307,19.1374,19.1015,0.0174999,0.035900115966796875,0.0271902,-0.10663,0.391196,19.3452,-0.051799774169921875,0.8402996063232422,0.5561921251937747,AGN,1,NED/MILLIQUAS,0.47,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASSJ13400825%2B3912418&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASSJ13400825%2B3912418</a></em>; a 18.90 mag AGN found in the NED/MILLIQUAS catalogues. Its located 0.5"" (1.7 Kpc) from the AGN core. A host z=0.224 implies a <em>m - M =</em> 40.23."
ZTF18aaioplg,278.5756266272727,31.606795793939394,18.917,18.0514,18.5982,18.2455,0.865604,0.35269927978515625,-22.888,10.3095,0.0839891,19.2094,-0.2924003601074219,-0.5472011566162109,0.3767592250369489,AGN,1,NED/MILLIQUAS,0.54,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=4C%2B31.51&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">4C%2B31.51</a></em>; a 18.20 mag AGN found in the NED/MILLIQUAS catalogues. Its located 0.5"" from the AGN core."
ZTF18aajqlkp,233.8710254933333,39.37961813333333,19.7044,18.9465,19.881,19.2791,0.328001,0.6019001007080078,0.235743,0.0555862,0.155049,17.9373,1.767099380493164,1.4423999786376953,0.549919025041163,AGN,1,NED/MILLIQUAS/GSC/VERON,0.13,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=FBQSJ153529.0%2B392246&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">FBQSJ153529.0%2B392246</a></em>; a V=16.75 mag AGN found in the NED/MILLIQUAS/GSC/VERON catalogues. Its located 0.1"" (0.5 Kpc) from the AGN core. A host z=0.257 implies a <em>m - M =</em> 40.57."
ZTF18aajvqye,257.71932267142853,39.61115712857143,17.889,18.1223,17.99,18.4781,-0.233326,-0.4881000518798828,0.0469985,0.0207367,0.923664,18.4399,-0.5508995056152344,0.4022998809814453,0.4901157249696553,NT,1,NED/SDSS,0.91,AT,NT,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ17105265%2B3936397&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ17105265%2B3936397</a></em>; an r=16.66 mag galaxy found in the NED/SDSS catalogues. Its located 0.9"" (1.1 Kpc) from the galaxy core. A host z=0.065 implies a <em>m - M =</em> 37.32."
ZTF18aakqinm,207.2062891923077,40.98122954615384,19.019,18.744,19.0371,18.7183,0.4911,0.3187999725341797,0.00194175,-0.00848811,0.233603,17.9206,1.098398208618164,1.0792999267578125,0.5561921251937747,AGN,1,NED/MILLIQUAS/VERON,0.26,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ13484946%2B4058528&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ13484946%2B4058528</a></em>; a 18.00 mag AGN found in the NED/MILLIQUAS/VERON catalogues. Its located 0.3"" (0.7 Kpc) from the AGN core. A host z=0.167 implies a <em>m - M =</em> 39.52."
ZTF18aakycpv,241.32545189361704,52.120163059574466,18.5956,18.2385,19.0476,18.5396,0.357096,0.5079994201660156,19.19,4.69469,0.105455,17.9212,0.6744003295898438,0.8334007263183594,0.4891782249324024,AGN,1,MILLIQUAS/GSC,0.12,SN,AGN,"The transient is synonymous with <em><a href=""https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?popupFrom=Query+Results&tablehead=name%3Dheasarc_milliquas%26description%3DMillion+Quasars+Catalog+%28MILLIQUAS%29%2C+Version+4.8+%2822+June+2016%29%26url%3Dhttp%3A%2F%2Fheasarc.gsfc.nasa.gov%2FW3Browse%2Fgalaxy-catalog%2Fmilliquas.html%26archive%3DN%26radius%3D1%26mission%3DGALAXY+CATALOG%26priority%3D5%26tabletype%3DObject&dummy=Examples+of+query+constraints%3A&varon=name&bparam_name=%3D%22SDSSJ160518.09+520712.6%22&bparam_name%3A%3Aunit=+&bparam_name%3A%3Aformat=char25&varon=ra&bparam_ra=&bparam_ra%3A%3Aunit=degree&bparam_ra%3A%3Aformat=float8%3A.5f&varon=dec&bparam_dec=&bparam_dec%3A%3Aunit=degree&bparam_dec%3A%3Aformat=float8%3A.5f&varon=bmag&bparam_bmag=&bparam_bmag%3A%3Aunit=mag&bparam_bmag%3A%3Aformat=float8%3A4.1f&varon=rmag&bparam_rmag=&bparam_rmag%3A%3Aunit=mag&bparam_rmag%3A%3Aformat=float8%3A4.1f&varon=redshift&bparam_redshift=&bparam_redshift%3A%3Aunit=+&bparam_redshift%3A%3Aformat=float8%3A6.3f&varon=radio_name&bparam_radio_name=&bparam_radio_name%3A%3Aunit=+&bparam_radio_name%3A%3Aformat=char22&varon=xray_name&bparam_xray_name=&bparam_xray_name%3A%3Aunit=+&bparam_xray_name%3A%3Aformat=char22&bparam_lii=&bparam_lii%3A%3Aunit=degree&bparam_lii%3A%3Aformat=float8%3A.5f&bparam_bii=&bparam_bii%3A%3Aunit=degree&bparam_bii%3A%3Aformat=float8%3A.5f&bparam_broad_type=&bparam_broad_type%3A%3Aunit=+&bparam_broad_type%3A%3Aformat=char4&bparam_optical_flag=&bparam_optical_flag%3A%3Aunit=+&bparam_optical_flag%3A%3Aformat=char3&bparam_red_psf_flag=&bparam_red_psf_flag%3A%3Aunit=+&bparam_red_psf_flag%3A%3Aformat=char1&bparam_blue_psf_flag=&bparam_blue_psf_flag%3A%3Aunit=+&bparam_blue_psf_flag%3A%3Aformat=char1&bparam_ref_name=&bparam_ref_name%3A%3Aunit=+&bparam_ref_name%3A%3Aformat=char6&bparam_ref_redshift=&bparam_ref_redshift%3A%3Aunit=+&bparam_ref_redshift%3A%3Aformat=char6&bparam_qso_prob=&bparam_qso_prob%3A%3Aunit=percent&bparam_qso_prob%3A%3Aformat=int2%3A3d&bparam_alt_name_1=&bparam_alt_name_1%3A%3Aunit=+&bparam_alt_name_1%3A%3Aformat=char22&bparam_alt_name_2=&bparam_alt_name_2%3A%3Aunit=+&bparam_alt_name_2%3A%3Aformat=char22&Entry=&Coordinates=J2000&Radius=Default&Radius_unit=arcsec&NR=CheckCaches%2FGRB%2FSIMBAD%2BSesame%2FNED&Time=&ResultMax=1000&displaymode=Display&Action=Start+Search&table=heasarc_milliquas"">SDSSJ160518.09+520712.6</a></em>; a V=15.19 mag AGN found in the MILLIQUAS/GSC catalogues. Its located 0.1"" (1.0 Kpc) from the AGN core. A host z=1.000 implies a <em>m - M =</em> 44.10."
ZTF18aalsiji,222.61114999111106,58.662465882222214,18.1823,18.5799,18.5223,18.6793,-0.397596,-0.1569995880126953,7.21662,-406.746,0.11388,18.4439,-0.2615985870361328,0.6459007263183594,0.5253472253680229,AGN,1,NED/MILLIQUAS/GSC/VERON,0.06,AT,AGN,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=MRK0830&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">MRK0830</a></em>; a V=16.04 mag AGN found in the NED/MILLIQUAS/GSC/VERON catalogues. Its located 0.1"" (0.2 Kpc) from the AGN core. A host z=0.210 implies a <em>m - M =</em> 40.07."
ZTF18aamggbl,219.85312812962968,55.579348748148156,19.6031,19.0511,19.3807,19.2066,0.581501,0.17409896850585938,0.176268,0.0164727,0.416428,17.9295,1.6735992431640625,1.5592994689941406,0.5253472253680229,NT,1,NED/SDSS,0.36,AT,NT,"The transient is synonymous with <em><a href=""https://ned.ipac.caltech.edu/cgi-bin/objsearch?objname=2MASXJ14392470%2B5534459&extend=no&hconst=73&omegam=0.27&omegav=0.73&corr_z=1&out_csys=Equatorial&out_equinox=J2000.0&obj_sort=RA+or+Longitude&of=pre_text&zv_breaker=30000.0&list_limit=5&img_stamp=YES"">2MASXJ14392470%2B5534459</a></em>; an r=16.23 mag galaxy found in the NED/SDSS catalogues. Its located 0.4"" (0.7 Kpc) from the galaxy core. A host z=0.105 implies a <em>m - M =</em> 38.43."
